county_fips,state_abbr,county_name,poverty_pct,data_value
02158,AK,Kusilvak,31.2,18
06053,CA,Monterey,12.6,12.5
05033,AR,Crawford,16.8,13
04025,AZ,Yavapai,12.6,12.1
02170,AK,Matanuska-Susitna,10.3,8.3
05077,AR,Lee,27.7,17.1
06069,CA,San Benito,7.8,11.3
05037,AR,Cross,20.1,16.1
04011,AZ,Greenlee,10.8,10.6
05119,AR,Pulaski,16.2,11.5
05063,AR,Independence,19.6,11.4
01071,AL,Jackson,16.8,16
01009,AL,Blount,14.1,11.3
05081,AR,Little River,16.5,12.4
05009,AR,Boone,13.4,10.4
05019,AR,Clark,20.2,12.9
02198,AK,Prince of Wales-Hyder,15.1,14
05139,AR,Union,19.4,16
05063,AR,Independence,19.6,13.4
06053,CA,Monterey,12.6,11.6
06029,CA,Kern,19,13.3
01093,AL,Marion,16.8,12.3
06049,CA,Modoc,20.3,10.3
01005,AL,Barbour,21.9,19.6
01125,AL,Tuscaloosa,16.7,12
06071,CA,San Bernardino,13.6,12.1
05121,AR,Randolph,21.1,12.2
01019,AL,Cherokee,14.5,16
01087,AL,Macon,22.1,20
02188,AK,Northwest Arctic,18.4,14.1
06055,CA,Napa,8.4,9.3
01017,AL,Chambers,15.5,17.9
06029,CA,Kern,19,13.3
01079,AL,Lawrence,13.7,15.5
01009,AL,Blount,14.1,13.8
04009,AZ,Graham,17.7,10.9
01019,AL,Cherokee,14.5,11.8
06023,CA,Humboldt,18.9,10
02188,AK,Northwest Arctic,18.4,14.6
05111,AR,Poinsett,20.1,12.1
01129,AL,Washington,18.4,17
02282,AK,Yakutat,7.8,13.7
05067,AR,Jackson,21.2,15.4
01005,AL,Barbour,21.9,16.5
05081,AR,Little River,16.5,15.7
06027,CA,Inyo,10.5,9.4
04023,AZ,Santa Cruz,20.2,13.2
06009,CA,Calaveras,13.4,9.1
05083,AR,Logan,14.4,14.4
01071,AL,Jackson,16.8,12.7
01103,AL,Morgan,13.6,12.3
01035,AL,Conecuh,27.6,16.8
01089,AL,Madison,10.5,10.9
01121,AL,Talladega,17.7,17.2
02100,AK,Haines,6.1,7.7
01057,AL,Fayette,18.7,13.1
06013,CA,Contra Costa,8.3,9.6
05073,AR,Lafayette,27.2,15.3
01027,AL,Clay,16.5,16.5
05025,AR,Cleveland,15.6,15
02180,AK,Nome,21.1,13.7
01023,AL,Choctaw,19.5,20.1
05141,AR,Van Buren,19.5,16.2
01083,AL,Limestone,10.1,12.5
05015,AR,Carroll,16.3,11.4
01041,AL,Crenshaw,16.2,13.4
02013,AK,Aleutians East,12.4,12.9
02220,AK,Sitka,8.4,9.9
05119,AR,Pulaski,16.2,12.9
01065,AL,Hale,23.9,19.7
02240,AK,Southeast Fairbanks,13.3,9
01125,AL,Tuscaloosa,16.7,12.4
01131,AL,Wilcox,29,23.8
01069,AL,Houston,18,15.7
05125,AR,Saline,9.1,9.5
01117,AL,Shelby,6.9,11.2
04011,AZ,Greenlee,10.8,10.1
05127,AR,Scott,17.2,14.8
06049,CA,Modoc,20.3,14.9
01073,AL,Jefferson,16.3,13.5
05029,AR,Conway,20.6,15.6
01087,AL,Macon,22.1,17.7
01013,AL,Butler,21,18.9
06021,CA,Glenn,12.4,12.6
13057,GA,Cherokee,6.5,11
13095,GA,Dougherty,26.4,19
06081,CA,San Mateo,6.5,9
09190,CT,Western Connecticut,7.4,7.4
08123,CO,Weld,9,9.5
12067,FL,Lafayette,17.8,14.6
12055,FL,Highlands,15.4,18.3
13051,GA,Chatham,14.3,13.1
12087,FL,Monroe,10.4,9.7
13103,GA,Effingham,7.4,11.3
06097,CA,Sonoma,8.6,8.6
13003,GA,Atkinson,25,16.5
12107,FL,Putnam,23.9,13.4
13023,GA,Bleckley,20.5,12.8
08103,CO,Rio Blanco,9,8
13141,GA,Hancock,31.5,18.3
08095,CO,Phillips,15.7,9.6
12091,FL,Okaloosa,9.3,9.6
13061,GA,Clay,23,16.1
08111,CO,San Juan,16.8,7.8
13151,GA,Henry,9.4,12.4
12121,FL,Suwannee,14.2,11.9
13107,GA,Emanuel,24.7,14.7
06101,CA,Sutter,14.8,12.8
12125,FL,Union,18.7,14.5
13099,GA,Early,21.1,15.4
08073,CO,Lincoln,10.3,9.4
12001,FL,Alachua,19.7,10.5
12095,FL,Orange,13,11.7
12069,FL,Lake,9.5,14.5
12085,FL,Martin,11.4,13.6
13149,GA,Heard,18.7,14.3
12057,FL,Hillsborough,13.2,11.5
12101,FL,Pasco,11.1,12.8
10005,DE,Sussex,11.5,9.8
13077,GA,Coweta,8.2,10.8
09140,CT,Naugatuck Valley,10.3,10.6
13065,GA,Clinch,22.9,17.3
13047,GA,Catoosa,8.7,10.3
12073,FL,Leon,18.5,11.3
13109,GA,Evans,18.4,16.8
12021,FL,Collier,10.5,9.5
06113,CA,Yolo,16.3,10.1
12039,FL,Gadsden,27.7,19.2
13055,GA,Chattooga,20.1,13.5
12083,FL,Marion,14.6,14.9
13007,GA,Baker,29.4,16.9
13129,GA,Gordon,12.9,13.9
12111,FL,St. Lucie,11.6,14.5
13033,GA,Burke,19.2,18.3
13121,GA,Fulton,12.9,10.7
06115,CA,Yuba,15.3,11.3
08021,CO,Conejos,13.8,11
12105,FL,Polk,14.7,11.8
08089,CO,Otero,23.6,11.7
12109,FL,St. Johns,6.7,8.2
12031,FL,Duval,14.6,11.8
08081,CO,Moffat,11.7,9.2
13001,GA,Appling,23.8,14.6
08119,CO,Teller,7.6,7.1
13043,GA,Candler,17.5,13.9
13083,GA,Dade,8.5,12.6
08003,CO,Alamosa,18.2,11.2
10001,DE,Kent,11.3,12.4
13057,GA,Cherokee,6.5,9.5
13095,GA,Dougherty,26.4,17.1
08055,CO,Huerfano,17.5,9.4
12055,FL,Highlands,15.4,12.6
06075,CA,San Francisco,10.6,9.3
08039,CO,Elbert,5.3,6.9
13027,GA,Brooks,25.4,15.7
13045,GA,Carroll,15.6,12.8
13097,GA,Douglas,11.3,13.6
13115,GA,Floyd,16.8,12.6
12039,FL,Gadsden,27.7,15.6
12043,FL,Glades,21.2,14.4
13081,GA,Crisp,24.1,16
13021,GA,Bibb,24.8,15.2
06079,CA,San Luis Obispo,12.8,10
12021,FL,Collier,10.5,13.7
12089,FL,Nassau,9.2,8.6
10003,DE,New Castle,10.2,12.2
12013,FL,Calhoun,21.2,15.2
12113,FL,Santa Rosa,8.4,10.9
13067,GA,Cobb,8.5,10.1
06095,CA,Solano,9.7,12.1
08045,CO,Garfield,9.1,8.9
13117,GA,Forsyth,4.5,9.9
12037,FL,Franklin,17.3,15.3
08029,CO,Delta,14.2,12.4
13015,GA,Bartow,10.1,10.8
13145,GA,Harris,7.4,9.9
12129,FL,Wakulla,5.6,10.8
13011,GA,Banks,12.8,11.5
13151,GA,Henry,9.4,13.4
08065,CO,Lake,7.2,7.8
09130,CT,Lower Connecticut River Valley,6.9,7.3
13029,GA,Bryan,7.2,10
12029,FL,Dixie,19.3,16.1
13143,GA,Haralson,15.1,12.6
08069,CO,Larimer,11.1,6.9
13013,GA,Barrow,10.2,11.6
08061,CO,Kiowa,12.8,8.3
08047,CO,Gilpin,10,7.3
13119,GA,Franklin,20.4,12.4
12049,FL,Hardee,24.3,15.6
12099,FL,Palm Beach,11.1,10.6
08031,CO,Denver,11.2,7.8
12045,FL,Gulf,11.6,14.1
08021,CO,Conejos,13.8,13.8
08123,CO,Weld,9,9.3
13001,GA,Appling,23.8,17.4
13155,GA,Irwin,18.1,13.5
08007,CO,Archuleta,8.3,11.7
06107,CA,Tulare,17.8,13.1
08085,CO,Montrose,11.9,8.5
08077,CO,Mesa,11.2,8.1
13063,GA,Clayton,16.8,16.1
06111,CA,Ventura,9,11.4
13161,GA,Jeff Davis,26.6,14.4
12063,FL,Jackson,18.8,15.6
06095,CA,Solano,9.7,10.5
13149,GA,Heard,18.7,11.9
09180,CT,Southeastern Connecticut,10.6,10
13107,GA,Emanuel,24.7,16.4
12115,FL,Sarasota,8.2,8.4
08083,CO,Montezuma,13.2,11.8
08075,CO,Logan,13.1,11.2
12133,FL,Washington,18.9,15.1
12129,FL,Wakulla,5.6,12.6
13111,GA,Fannin,12,11.1
13099,GA,Early,21.1,18.9
